,DATE,WEEK,DAY,ORDERS,LINES,PCS,SKU,CITIES
0,2017-01-02,WEEK-1,MON,776,1367,1595.0,487,174
1,2017-01-03,WEEK-1,TUE,902,1550,1861.0,547,188
2,2017-01-04,WEEK-1,WED,1476,2252,2856.0,513,205
3,2017-01-05,WEEK-1,THU,909,1637,1972.0,519,175
4,2017-01-06,WEEK-1,FRI,1023,1720,1995.0,502,189
5,2017-01-07,WEEK-1,SAT,1021,2578,2953.0,544,203
6,2017-01-08,WEEK-1,SUN,1797,3479,4188.0,636,276
7,2017-01-09,WEEK-2,MON,1453,2827,3442.0,666,251
8,2017-01-10,WEEK-2,TUE,1469,2694,3062.0,619,250
9,2017-01-11,WEEK-2,WED,1921,3067,3591.0,616,279
10,2017-01-12,WEEK-2,THU,1519,2674,3108.0,605,258
11,2017-01-13,WEEK-2,FRI,1368,3436,4085.0,618,238
12,2017-01-14,WEEK-2,SAT,1224,2700,3192.0,665,251
13,2017-01-15,WEEK-2,SUN,838,1673,1953.0,536,190
14,2017-01-16,WEEK-3,MON,1507,2703,3133.0,659,256
15,2017-01-17,WEEK-3,TUE,1502,2889,3345.0,694,259
16,2017-01-18,WEEK-3,WED,1096,2092,2458.0,585,238
17,2017-01-19,WEEK-3,THU,1046,2100,2500.0,615,222
18,2017-01-20,WEEK-3,FRI,1368,2875,3284.0,648,217
19,2017-01-21,WEEK-3,SAT,945,1840,2211.0,477,212
20,2017-01-22,WEEK-3,SUN,876,1797,2058.0,528,210
21,2017-01-23,WEEK-4,MON,774,1578,1813.0,466,198
22,2017-01-24,WEEK-4,TUE,660,1305,1504.0,443,189
23,2017-01-25,WEEK-4,WED,520,1046,1182.0,383,156
24,2017-01-26,WEEK-4,THU,834,1741,1945.0,471,194
25,2017-01-27,WEEK-4,FRI,535,958,1135.0,363,167
26,2017-01-28,WEEK-4,SAT,400,676,721.0,328,146
27,2017-01-29,WEEK-4,SUN,590,1134,1266.0,424,190
28,2017-01-30,WEEK-5,MON,278,550,610.0,243,123
29,2017-01-31,WEEK-5,TUE,1247,2291,2550.0,641,243
